"Nocom";"Refprod";"PrixUnit";"Qte";"Remise%"
10289;64;133;9;0.00
10290;5;85;20;0.00
10290;29;495;15;0.00
10290;49;80;15;0.00
10290;77;52;10;0.00
10291;13;24;20;0.10
10291;44;78;24;0.10
10291;51;212;2;0.10
10292;20;324;20;0.00
10293;18;250;12;0.00
10293;24;18;10;0.00
10293;63;176;5;0.00
10293;75;31;6;0.00
10294;1;72;18;0.00
10294;17;156;15;0.00
10294;43;184;15;0.00
10294;60;136;21;0.00
10294;75;31;6;0.00
10295;56;152;4;0.00
10296;11;84;12;0.00
10296;16;70;30;0.00
10296;69;144;15;0.00
10297;39;72;60;0.00
10297;72;139;20;0.00
10298;2;76;40;0.00
10298;36;76;40;0.25
10298;59;220;30;0.25
10298;62;197;15;0.00
10299;19;36;15;0.00
10299;70;60;20;0.00
10300;66;68;30;0.00
10300;68;50;20;0.00
10301;40;74;10;0.00
10301;56;152;20;0.00
10302;17;156;40;0.00
10302;28;182;28;0.00
10302;43;184;12;0.00
10303;40;74;40;0.10
10303;65;84;30;0.10
10303;68;50;15;0.10
10304;49;80;30;0.00
10304;59;220;10;0.00
10304;71;86;2;0.00
10305;18;250;25;0.10
10305;29;495;25;0.10
10305;39;72;30;0.10
10306;30;104;10;0.00
10306;53;131;10;0.00
10306;54;30;5;0.00
10307;62;197;10;0.00
10307;68;50;3;0.00
10308;69;144;1;0.00
10308;70;60;5;0.00
10309;4;88;20;0.00
10309;6;100;30;0.00
10309;42;56;2;0.00
10309;43;184;20;0.00
10309;71;86;3;0.00
10310;16;70;10;0.00
10310;62;197;5;0.00
10311;42;56;6;0.00
10311;69;144;7;0.00
10312;28;182;4;0.00
10312;43;184;24;0.00
10312;53;131;20;0.00
10312;75;31;10;0.00
10313;36;76;12;0.00
10314;32;128;40;0.10
10314;58;53;30;0.10
10314;62;197;25;0.10
10315;34;56;14;0.00
10315;70;60;30;0.00
10316;41;38;10;0.00
10316;62;197;70;0.00
10317;1;72;20;0.00
10318;41;38;20;0.00
10318;76;72;6;0.00
10319;17;156;8;0.00
10319;28;182;14;0.00
10319;76;72;30;0.00
10320;71;86;30;0.00
10321;35;72;10;0.00
10322;52;28;20;0.00
10323;15;62;5;0.00
10323;25;56;4;0.00
10323;39;72;4;0.00
10324;16;70;21;0.15
10324;35;72;70;0.15
10324;46;48;30;0.00
10324;59;220;40;0.15
10324;63;176;80;0.15
10325;6;100;6;0.00
10325;13;24;12;0.00
10325;14;93;9;0.00
10325;31;50;4;0.00
10325;72;139;40;0.00
10326;4;88;24;0.00
10326;57;78;16;0.00
10326;75;31;50;0.00
10327;2;76;25;0.20
10327;11;84;50;0.20
10327;30;104;35;0.20
10327;58;53;30;0.20
10328;59;220;9;0.00
10328;65;84;40;0.00
10328;68;50;10;0.00
10329;19;36;10;0.05
10329;30;104;8;0.05
10329;38;1054;20;0.05
10329;56;152;12;0.05
10330;26;124;50;0.15
10330;72;139;25;0.15
10331;54;30;15;0.00
10332;18;250;40;0.20
10332;42;56;10;0.20
10332;47;38;16;0.20
10333;14;93;10;0.00
10333;21;40;10;0.10
10333;71;86;40;0.10
10334;52;28;8;0.00
10334;68;50;10;0.00
10335;2;76;7;0.20
10335;31;50;25;0.20
10335;32;128;6;0.20
10335;51;212;48;0.20
10336;4;88;18;0.10
10337;23;36;40;0.00
10337;26;124;24;0.00
10337;36;76;20;0.00
10337;37;104;28;0.00
10337;72;139;25;0.00
10338;17;156;20;0.00
10338;30;104;15;0.00
10339;4;88;10;0.00
10339;17;156;70;0.05
10339;62;197;28;0.00
10340;18;250;20;0.05
10340;41;38;12;0.05
10340;43;184;40;0.05
10341;33;10;8;0.00
10341;59;220;9;0.15
10342;2;76;24;0.20
10342;31;50;56;0.20
10342;36;76;40;0.20
10342;55;96;40;0.20
10343;64;133;50;0.00
10343;68;50;4;0.05
10343;76;72;15;0.00
10344;4;88;35;0.00
10344;8;160;70;0.25
10345;8;160;70;0.00
10345;19;36;80;0.00
10345;42;56;9;0.00
10346;17;156;36;0.10
10346;56;152;20;0.00
10347;25;56;10;0.00
10347;39;72;50;0.15
10347;40;74;4;0.00
10347;75;31;6;0.15
10348;1;72;15;0.15
10348;23;36;25;0.00
10349;54;30;24;0.00
10350;50;65;15;0.10
10350;69;144;18;0.10
10351;38;1054;20;0.05
10351;41;38;13;0.00
10351;44;78;77;0.05
10351;65;84;10;0.05
10352;24;18;10;0.00
10352;54;30;20;0.15
10353;11;84;12;0.20
10353;38;1054;50;0.20
10354;1;72;12;0.00
10354;29;495;4;0.00
10355;24;18;25;0.00
10355;57;78;25;0.00
10356;31;50;30;0.00
10356;55;96;12;0.00
10356;69;144;20;0.00
10357;10;124;30;0.20
10357;26;124;16;0.00
10357;60;136;8;0.20
10358;24;18;10;0.05
10358;34;56;10;0.05
10358;36;76;20;0.05
10359;16;70;56;0.05
10359;31;50;70;0.05
10359;60;136;80;0.05
10360;28;182;30;0.00
10360;29;495;35;0.00
10360;38;1054;10;0.00
10360;49;80;35;0.00
10360;54;30;28;0.00
10361;39;72;54;0.10
10361;60;136;55;0.10
10362;25;56;50;0.00
10362;51;212;20;0.00
10362;54;30;24;0.00
10363;31;50;20;0.00
10363;75;31;12;0.00
10363;76;72;12;0.00
10364;69;144;30;0.00
10364;71;86;5;0.00
10365;11;84;24;0.00
10366;65;84;5;0.00
10366;77;52;5;0.00
10367;34;56;36;0.00
10367;54;30;18;0.00
10367;65;84;15;0.00
10367;77;52;7;0.00
10368;21;40;5;0.10
10368;28;182;13;0.10
10368;57;78;25;0.00
10368;64;133;35;0.10
10369;29;495;20;0.00
10369;56;152;18;0.25
10370;1;72;15;0.15
10370;64;133;30;0.00
10370;74;40;20;0.15
10371;36;76;6;0.20
10372;20;324;12;0.25
10372;38;1054;40;0.25
10372;60;136;70;0.25
10372;72;139;42;0.25
10373;58;53;80;0.20
10373;71;86;50;0.20
10374;31;50;30;0.00
10374;58;53;15;0.00
10375;14;93;15;0.00
10375;54;30;10;0.00
10376;31;50;42;0.05
10377;28;182;20;0.15
10377;39;72;20;0.15
10378;71;86;6;0.00
10379;41;38;8;0.10
10379;63;176;16;0.10
10379;65;84;20;0.10
10380;30;104;18;0.10
10380;53;131;20;0.10
10380;60;136;6;0.10
10380;70;60;30;0.00
10381;74;40;14;0.00
10382;5;85;32;0.00
10382;18;250;9;0.00
10382;29;495;14;0.00
10382;33;10;60;0.00
10382;74;40;50;0.00
10383;13;24;20;0.00
10383;50;65;15;0.00
10383;56;152;20;0.00
10384;20;324;28;0.00
10384;60;136;15;0.00
10385;7;120;10;0.20
10385;60;136;20;0.20
10385;68;50;8;0.20
10386;24;18;15;0.00
10386;34;56;10;0.00
10387;24;18;15;0.00
10387;28;182;6;0.00
10387;59;220;12;0.00
10387;71;86;15;0.00
10388;45;38;15;0.20
10388;52;28;20;0.20
10388;53;131;40;0.00
10389;10;124;16;0.00
10389;55;96;15;0.00
10389;62;197;20;0.00
10389;70;60;30;0.00
10390;31;50;60;0.10
10390;35;72;40;0.10
10390;46;48;45;0.00
10390;72;139;24;0.10
10391;13;24;18;0.00
10392;69;144;50;0.00
10393;2;76;25;0.25
10393;14;93;42;0.25
10393;25;56;7;0.25
10393;26;124;70;0.25
10393;31;50;32;0.00
10394;13;24;10;0.00
10394;62;197;10;0.00
10395;46;48;28;0.10
10395;53;131;70;0.10
10395;69;144;8;0.00
10396;23;36;40;0.00
10396;71;86;60;0.00
10396;72;139;21;0.00
10397;21;40;10;0.15
10397;51;212;18;0.15
10398;35;72;30;0.00
10398;55;96;120;0.10
10399;68;50;60;0.00
10399;71;86;30;0.00
10399;76;72;35;0.00
10399;77;52;14;0.00
10400;29;495;21;0.00
10400;35;72;35;0.00
10400;49;80;30;0.00
10401;30;104;18;0.00
10401;56;152;70;0.00
10401;65;84;20;0.00
10401;71;86;60;0.00
10402;23;36;60;0.00
10402;63;176;65;0.00
10403;16;70;21;0.15
10403;48;51;70;0.15
10404;26;124;30;0.05
10404;42;56;40;0.05
10404;49;80;30;0.05
10405;3;40;50;0.00
10406;1;72;10;0.00
10406;21;40;30;0.10
10406;28;182;42;0.10
10406;36;76;5;0.10
10406;40;74;2;0.10
10407;11;84;30;0.00
10407;69;144;15;0.00
10407;71;86;15;0.00
10408;37;104;10;0.00
10408;54;30;6;0.00
10408;62;197;35;0.00
10409;14;93;12;0.00
10409;21;40;12;0.00
10410;33;10;49;0.00
10410;59;220;16;0.00
10411;41;38;25;0.20
10411;44;78;40;0.20
10411;59;220;9;0.20
10412;14;93;20;0.10
10413;1;72;24;0.00
10413;62;197;40;0.00
10413;76;72;14;0.00
10414;19;36;18;0.05
10414;33;10;50;0.00
10415;17;156;2;0.00
10415;33;10;20;0.00
10416;19;36;20;0.00
10416;53;131;10;0.00
10416;57;78;20;0.00
10417;38;1054;50;0.00
10417;46;48;2;0.25
10417;68;50;36;0.25
10417;77;52;35;0.00
10418;2;76;60;0.00
10418;47;38;55;0.00
10418;61;114;16;0.00
10418;74;40;15;0.00
10419;60;136;60;0.05
10419;69;144;20;0.05
10420;9;388;20;0.10
10420;13;24;2;0.10
10420;70;60;8;0.10
10420;73;60;20;0.10
10421;19;36;4;0.15
10421;26;124;30;0.00
10421;53;131;15;0.15
10421;77;52;10;0.15
10422;26;124;2;0.00
10423;31;50;14;0.00
10423;59;220;20;0.00
10424;35;72;60;0.20
10424;38;1054;49;0.20
10424;68;50;30;0.20
10425;55;96;10;0.25
10425;76;72;20;0.25
10426;56;152;5;0.00
10426;64;133;7;0.00
10427;14;93;35;0.00
10428;46;48;20;0.00
10429;50;65;40;0.00
10429;63;176;35;0.25
10430;17;156;45;0.20
10430;21;40;50;0.00
10430;56;152;30;0.00
10430;59;220;70;0.20
10431;17;156;50;0.25
10431;40;74;50;0.25
10431;47;38;30;0.25
10432;26;124;10;0.00
10432;54;30;40;0.00
10433;56;152;28;0.00
10434;11;84;6;0.00
10434;76;72;18;0.15
10435;2;76;10;0.00
10435;22;84;12;0.00
10435;72;139;10;0.00
10436;46;48;5;0.00
10436;56;152;40;0.10
10436;64;133;30;0.10
10436;75;31;24;0.10
10437;53;131;15;0.00
10438;19;36;15;0.20
10438;34;56;20;0.20
10438;57;78;15;0.20
10439;12;152;15;0.00
10439;16;70;16;0.00
10439;64;133;6;0.00
10439;74;40;30;0.00
10440;2;76;45;0.15
10440;16;70;49;0.15
10440;29;495;24;0.15
10440;61;114;90;0.15
10441;27;176;50;0.00
10442;11;84;30;0.00
10442;54;30;80;0.00
10442;66;68;60;0.00
10443;11;84;6;0.20
10443;28;182;12;0.00
10444;17;156;10;0.00
10444;26;124;15;0.00
10444;35;72;8;0.00
10444;41;38;30;0.00
10445;39;72;6;0.00
10445;54;30;15;0.00
10446;19;36;12;0.10
10446;24;18;20;0.10
10446;31;50;3;0.10
10446;52;28;15;0.10
10447;19;36;40;0.00
10447;65;84;35;0.00
10447;71;86;2;0.00
10448;26;124;6;0.00
10448;40;74;20;0.00
10449;10;124;14;0.00
10449;52;28;20;0.00
10449;62;197;35;0.00
10450;10;124;20;0.20
10450;54;30;6;0.20
10451;55;96;120;0.10
10451;64;133;35;0.10
10451;65;84;28;0.10
10451;77;52;55;0.10
10452;28;182;15;0.00
10452;44;78;100;0.05
10453;48;51;15;0.10
10453;70;60;25;0.10
10454;16;70;20;0.20
10454;33;10;20;0.20
10454;46;48;10;0.20
10455;39;72;20;0.00
10455;53;131;50;0.00
10455;61;114;25;0.00
10455;71;86;30;0.00
10456;21;40;40;0.15
10456;49;80;21;0.15
10457;59;220;36;0.00
10458;26;124;30;0.00
10458;28;182;30;0.00
10458;43;184;20;0.00
10458;56;152;15;0.00
10458;71;86;50;0.00
10459;7;120;16;0.05
10459;46;48;20;0.05
10459;72;139;40;0.00
10460;68;50;21;0.25
10460;75;31;4;0.25
10461;21;40;40;0.25
10461;30;104;28;0.25
10461;55;96;60;0.25
10462;13;24;1;0.00
10462;23;36;21;0.00
10463;19;36;21;0.00
10463;42;56;50;0.00
10464;4;88;16;0.20
10464;43;184;3;0.00
10464;56;152;30;0.20
10464;60;136;20;0.00
10465;24;18;25;0.00
10465;29;495;18;0.10
10465;40;74;20;0.00
10465;45;38;30;0.10
10465;50;65;25;0.00
10466;11;84;10;0.00
10466;46;48;5;0.00
10467;24;18;28;0.00
10467;25;56;12;0.00
10468;30;104;8;0.00
10468;43;184;15;0.00
10469;2;76;40;0.15
10469;16;70;35;0.15
10469;44;78;2;0.15
10470;18;250;30;0.00
10470;23;36;15;0.00
10470;64;133;8;0.00
10471;7;120;30;0.00
10471;56;152;20;0.00
10472;24;18;80;0.05
10472;51;212;18;0.00
10473;33;10;12;0.00
10473;71;86;12;0.00
10474;14;93;12;0.00
10474;28;182;18;0.00
10474;40;74;21;0.00
10474;75;31;10;0.00
10475;31;50;35;0.15
10475;66;68;60;0.15
10475;76;72;42;0.15
10476;55;96;2;0.05
10476;70;60;12;0.00
10477;1;72;15;0.00
10477;21;40;21;0.25
10477;39;72;20;0.25
10478;10;124;20;0.05
10479;38;1054;30;0.00
10479;53;131;28;0.00
10479;59;220;60;0.00
10479;64;133;30;0.00
10480;47;38;30;0.00
10480;59;220;12;0.00
10481;49;80;24;0.00
10481;60;136;40;0.00
10482;40;74;10;0.00
10483;34;56;35;0.05
10483;77;52;30;0.05
10484;21;40;14;0.00
10484;40;74;10;0.00
10484;51;212;3;0.00
10485;2;76;20;0.10
10485;3;40;20;0.10
10485;55;96;30;0.10
10485;70;60;60;0.10
10486;11;84;5;0.00
10486;51;212;25;0.00
10486;74;40;16;0.00
10487;19;36;5;0.00
10487;26;124;30;0.00
10487;54;30;24;0.25
10488;59;220;30;0.00
10488;73;60;20;0.20
10489;11;84;15;0.25
10489;16;70;18;0.00
10490;59;220;60;0.00
10490;68;50;30;0.00
10490;75;31;36;0.00
10491;44;78;15;0.15
10491;77;52;7;0.15
10492;25;56;60;0.05
10492;42;56;20;0.05
10493;65;84;15;0.10
10493;66;68;10;0.10
10493;69;144;10;0.10
10494;56;152;30;0.00
10495;23;36;10;0.00
10495;41;38;20;0.00
10495;77;52;5;0.00
10496;31;50;20;0.05
10497;56;152;14;0.00
10497;72;139;25;0.00
10497;77;52;25;0.00
10498;24;22;14;0.00
10498;40;92;5;0.00
10498;42;70;30;0.00
10499;28;228;20;0.00
10499;49;100;25;0.00
10500;15;78;12;0.05
10500;28;228;8;0.05
10501;54;37;20;0.00
10502;45;48;21;0.00
10502;53;164;6;0.00
10502;67;70;30;0.00
10503;14;116;70;0.00
10503;65;105;20;0.00
10504;2;95;12;0.00
10504;21;50;12;0.00
10504;53;164;10;0.00
10504;61;142;25;0.00
10505;62;246;3;0.00
10506;25;70;18;0.10
10506;70;75;14;0.10
10507;43;230;15;0.15
10507;48;64;15;0.15
10508;13;30;10;0.00
10508;39;90;10;0.00
10509;28;228;3;0.00
10510;29;619;36;0.00
10510;75;39;36;0.10
10511;4;110;50;0.15
10511;7;150;50;0.15
10511;8;200;10;0.15
10512;24;22;10;0.15
10512;46;60;9;0.15
10512;47;48;6;0.15
10512;60;170;12;0.15
10513;21;50;40;0.20
10513;32;160;50;0.20
10513;61;142;15;0.20
10514;20;405;39;0.00
10514;28;228;35;0.00
10514;56;190;70;0.00
10514;65;105;39;0.00
10514;75;39;50;0.00
10515;9;485;16;0.15
10515;16;87;50;0.00
10515;27;220;120;0.00
10515;33;12;16;0.15
10515;60;170;84;0.15
10516;18;312;25;0.10
10516;41;48;80;0.10
10516;42;70;20;0.00
10517;52;35;6;0.00
10517;59;275;4;0.00
10517;70;75;6;0.00
10518;24;22;5;0.00
10518;38;1318;15;0.00
10518;44;97;9;0.00
10519;10;155;16;0.05
10519;56;190;40;0.00
10519;60;170;10;0.05
10520;24;22;8;0.00
10520;53;164;5;0.00
10521;35;90;3;0.00
10521;41;48;10;0.00
10521;68;62;6;0.00
10522;1;90;40;0.20
10522;8;200;24;0.00
10522;30;129;20;0.20
10522;40;92;25;0.20
10523;17;195;25;0.10
10523;20;405;15;0.10
10523;37;130;18;0.10
10523;41;48;6;0.10
10524;10;155;2;0.00
10524;30;129;10;0.00
10524;43;230;60;0.00
10524;54;37;15;0.00
10525;36;95;30;0.00
10525;40;92;15;0.10
10526;1;90;8;0.15
10526;13;30;10;0.00
10526;56;190;30;0.15
10527;4;110;50;0.10
10527;36;95;30;0.10
10528;11;105;3;0.00
10528;33;12;8;0.20
10528;72;174;9;0.00
10529;55;120;14;0.00
10529;68;62;20;0.00
10529;69;180;10;0.00
10530;17;195;40;0.00
10530;43;230;25;0.00
10530;61;142;20;0.00
10530;76;90;50;0.00
10531;59;275;2;0.00
10532;30;129;15;0.00
10532;66;85;24;0.00
10533;4;110;50;0.05
10533;72;174;24;0.00
10533;73;75;24;0.05
10534;30;129;10;0.00
10534;40;92;10;0.20
10534;54;37;10;0.20
10535;11;105;50;0.10
10535;40;92;10;0.10
10535;57;98;5;0.10
10535;59;275;15;0.10
10536;12;190;15;0.25
10536;31;62;20;0.00
10536;33;12;30;0.00
10536;60;170;35;0.25
10537;31;62;30;0.00
10537;51;265;6;0.00
10537;58;66;20;0.00
10537;72;174;21;0.00
10537;73;75;9;0.00
10538;70;75;7;0.00
10538;72;174;1;0.00
10539;13;30;8;0.00
10539;21;50;15;0.00
10539;33;12;15;0.00
10539;49;100;6;0.00
10540;3;50;60;0.00
10540;26;156;40;0.00
10540;38;1318;30;0.00
10540;68;62;35;0.00
10541;24;22;35;0.10
10541;38;1318;4;0.10
10541;65;105;36;0.10
10541;71;108;9;0.10
10542;11;105;15;0.05
10542;54;37;24;0.05
10543;12;190;30;0.15
10543;23;45;70;0.15
10544;28;228;7;0.00
10544;67;70;7;0.00
10545;11;105;10;0.00
10546;7;150;10;0.00
10546;35;90;30;0.00
10546;62;246;40;0.00
10547;32;160;24;0.15
10547;36;95;60;0.00
10548;34;70;10;0.25
10548;41;48;14;0.00
10549;31;62;55;0.15
10549;45;48;100;0.15
10549;51;265;48;0.15
10550;17;195;8;0.10
10550;19;46;10;0.00
10550;21;50;6;0.10
10550;61;142;10;0.10
10551;16;87;40;0.15
10551;35;90;20;0.15
10551;44;97;40;0.00
10552;69;180;18;0.00
10552;75;39;30;0.00
10553;11;105;15;0.00
10553;16;87;14;0.00
10553;22;105;24;0.00
10553;31;62;30;0.00
10553;35;90;6;0.00
10554;16;87;30;0.05
10554;23;45;20;0.05
10554;62;246;20;0.05
10554;77;65;10;0.05
10555;14;116;30;0.20
10555;19;46;35;0.20
10555;24;22;18;0.20
10555;51;265;20;0.20
10555;56;190;40;0.20
10556;72;174;24;0.00
10557;64;166;30;0.00
10557;75;39;20;0.00
10558;47;48;25;0.00
10558;51;265;20;0.00
10558;52;35;30;0.00
10558;53;164;18;0.00
10558;73;75;3;0.00
10559;41;48;12;0.05
10559;55;120;18;0.05
10560;30;129;20;0.00
10560;62;246;15;0.25
10561;44;97;10;0.00
10561;51;265;50;0.00
10562;33;12;20;0.10
10562;62;246;10;0.10
10563;36;95;25;0.00
10563;52;35;70;0.00
10564;17;195;16;0.05
10564;31;62;6;0.05
10564;55;120;25;0.05
10565;24;22;25;0.10
10565;64;166;18;0.10
10566;11;105;35;0.15
10566;18;312;18;0.15
10566;76;90;10;0.00
10567;31;62;60;0.20
10567;51;265;3;0.00
10567;59;275;40;0.20
10568;10;155;5;0.00
10569;31;62;35;0.20
10569;76;90;30;0.00
10570;11;105;15;0.05
10570;56;190;60;0.05
10571;14;116;11;0.15
10571;42;70;28;0.15
10572;16;87;12;0.10
10572;32;160;10;0.10
10572;40;92;50;0.00
10572;75;39;15;0.10
10573;17;195;18;0.00
10573;34;70;40;0.00
10573;53;164;25;0.00
10574;33;12;14;0.00
10574;40;92;2;0.00
10574;62;246;10;0.00
10574;64;166;6;0.00
10575;59;275;12;0.00
10575;63;220;6;0.00
10575;72;174;30;0.00
10575;76;90;10;0.00
10576;1;90;10;0.00
10576;31;62;20;0.00
10576;44;97;21;0.00
10577;39;90;10;0.00
10577;75;39;20;0.00
10577;77;65;18;0.00
10578;35;90;20;0.00
10578;57;98;6;0.00
10579;15;78;10;0.00
10579;75;39;21;0.00
10580;14;116;15;0.05
10580;41;48;9;0.05
10580;65;105;30;0.05
10581;75;39;50;0.20
10582;57;98;4;0.00
10582;76;90;14;0.00
10583;29;619;10;0.00
10583;60;170;24;0.15
10583;69;180;10;0.15
10584;31;62;50;0.05
10585;47;48;15;0.00
10586;52;35;4;0.15
10587;26;156;6;0.00
10587;35;90;20;0.00
10587;77;65;20;0.00
10588;18;312;40;0.20
10588;42;70;100;0.20
10589;35;90;4;0.00
10590;1;90;20;0.00
10590;77;65;60;0.05
10591;3;50;14;0.00
10591;7;150;10;0.00
10591;54;37;50;0.00
10592;15;78;25;0.05
10592;26;156;5;0.05
10593;20;405;21;0.20
10593;69;180;20;0.20
10593;76;90;4;0.20
10594;52;35;24;0.00
10594;58;66;30;0.00
10595;35;90;30;0.25
10595;61;142;120;0.25
10595;69;180;65;0.25
10596;56;190;5;0.20
10596;63;220;24;0.20
10596;75;39;30;0.20
10597;24;22;35;0.20
10597;57;98;20;0.00
10597;65;105;12;0.20
10598;27;220;50;0.00
10598;71;108;9;0.00
10599;62;246;10;0.00
10600;54;37;4;0.00
10600;73;75;30;0.00
10601;13;30;60;0.00
10601;59;275;35;0.00
10602;77;65;5;0.25
10603;22;105;48;0.00
10603;49;100;25;0.05
10604;48;64;6;0.10
10604;76;90;10;0.10
10605;16;87;30;0.05
10605;59;275;20;0.05
10605;60;170;70;0.05
10605;71;108;15;0.05
10606;4;110;20;0.20
10606;55;120;20;0.20
10606;62;246;10;0.20
10607;7;150;45;0.00
10607;17;195;100;0.00
10607;33;12;14;0.00
10607;40;92;42;0.00
10607;72;174;12;0.00
10608;56;190;28;0.00
10609;1;90;3;0.00
10609;10;155;10;0.00
10609;21;50;6;0.00
10610;36;95;21;0.25
10611;1;90;6;0.00
10611;2;95;10;0.00
10611;60;170;15;0.00
10612;10;155;70;0.00
10612;36;95;55;0.00
10612;49;100;18;0.00
10612;60;170;40;0.00
10612;76;90;80;0.00
10613;13;30;8;0.10
10613;75;39;40;0.00
10614;11;105;14;0.00
10614;21;50;8;0.00
10614;39;90;5;0.00
10615;55;120;5;0.00
10616;38;1318;15;0.05
10616;56;190;14;0.00
10616;70;75;15;0.05
10616;71;108;15;0.05
10617;59;275;30;0.15
10618;6;125;70;0.00
10618;56;190;20;0.00
10618;68;62;15;0.00
10619;21;50;42;0.00
10619;22;105;40;0.00
10620;24;22;5;0.00
10620;52;35;5;0.00
10621;19;46;5;0.00
10621;23;45;10;0.00
10621;70;75;20;0.00
10621;71;108;15;0.00
10622;2;95;20;0.00
10622;68;62;18;0.20
10623;14;116;21;0.00
10623;19;46;15;0.10
10623;21;50;25;0.10
10623;24;22;3;0.00
10623;35;90;30;0.10
10624;28;228;10;0.00
10624;29;619;6;0.00
10624;44;97;10;0.00
10625;14;116;3;0.00
10625;42;70;5;0.00
10625;60;170;10;0.00
10626;53;164;12;0.00
10626;60;170;20;0.00
10626;71;108;20;0.00
10627;62;246;15;0.00
10627;73;75;35;0.15
10628;1;90;25;0.00
10629;29;619;20;0.00
10629;64;166;9;0.00
10630;55;120;12;0.05
10630;76;90;35;0.00
10631;75;39;8;0.10
10632;2;95;30;0.05
10632;33;12;20;0.05
10633;12;190;36;0.15
10633;13;30;13;0.15
10633;26;156;35;0.15
10633;62;246;80;0.15
10634;7;150;35;0.00
10634;18;312;50;0.00
10634;51;265;15;0.00
10634;75;39;2;0.00
10635;4;110;10;0.10
10635;5;107;15;0.10
10635;22;105;40;0.00
10636;4;110;25;0.00
10636;58;66;6;0.00
10637;11;105;10;0.00
10637;50;81;25;0.05
10637;56;190;60;0.05
10638;45;48;20;0.00
10638;65;105;21;0.00
10638;72;174;60;0.00
10639;18;312;8;0.00
10640;69;180;20;0.25
10640;70;75;15;0.25
10641;2;95;50;0.00
10641;40;92;60;0.00
10642;21;50;30;0.20
10642;61;142;20;0.20
10643;28;228;15;0.25
10643;39;90;21;0.25
10643;46;60;2;0.25
10644;18;312;4;0.10
10644;43;230;20;0.00
10644;46;60;21;0.10
10645;18;312;20;0.00
10645;36;95;15;0.00
10646;1;90;15;0.25
10646;10;155;18;0.25
10646;71;108;30;0.25
10646;77;65;35;0.25
10647;19;46;30;0.00
10647;39;90;20;0.00
10648;22;105;15;0.00
10648;24;22;15;0.15
10649;28;228;20;0.00
10649;72;174;15;0.00
10650;30;129;30;0.00
10650;53;164;25;0.05
10650;54;37;30;0.00
10651;19;46;12;0.25
10651;22;105;20;0.25
10652;30;129;2;0.25
10652;42;70;20;0.00
10653;16;87;30;0.10
10653;60;170;20;0.10
10654;4;110;12;0.10
10654;39;90;20;0.10
10654;54;37;6;0.10
10655;41;48;20;0.20
10656;14;116;3;0.10
