"NoFour";"Societe";"Contact";"Fonction";"Adresse";"Ville";"Region";"CodePostal";"Pays";"Tel";"Fax";"PageAccueil"
13;"Nord-Ost-Fisch Handelsgesellschaft mbH";"Sven Petersen";"Responsable export";"Frahmredder 112a";"Cuxhaven";;"27478";"Allemagne";"(04721) 8713";"(04721) 8714";
14;"Formaggi Fortini s.r.l.";"Elio Rossi";"Représentant(e)";"Viale Dante, 75";"Ravenna";;"48100";"Italie";"(0544) 60323";"(0544) 60603";"Formaggi.htm#FORMAGGI.HTM#"
15;"Norske Meierier";"Beate Vileid";"Directeur du marketing";"Hatlevegen 5";"Sandvika";;"1320";"Norvège";"(0)2-953010";;
16;"Bigfoot Breweries";"Cheryl Saylor";"Responsable de zone";"3400 - 8th Avenue
Suite 210";"Bend";"OR";"97101";"Etats-Unis";"(503) 555-9931";;
17;"Svensk Sjöföda AB";"Michael Björn";"Représentant(e)";"Brovallavägen 231";"Stockholm";;"S-123 45";"Suède";"08-123 45 67";;
18;"Aux joyeux ecclésiastiques";"Guylène Nodier";"Chef des ventes";"203, Rue des Francs-Bourgeois";"Paris";;"75004";"France";"(1) 03.83.00.68";"(1) 03.83.00.62";
19;"New England Seafood Cannery";"Robb Merchant";"Responsable de zone";"Order Processing Dept.
2100 Paul Revere Blvd.";"Boston";"MA";"02134";"Etats-Unis";"(617) 555-3267";"(617) 555-3389";
20;"Leka Trading";"Chandra Leka";"Propriétaire";"471 Serangoon Loop, Suite #402";"Singapore";;"0512";"Singapour";"555-8787";;
21;"Lyngbysild";"Niels Petersen";"Chef des ventes";"Lyngbysild
Fiskebakken 10";"Lyngby";;"2800";"Danemark";"43844108";"43844115";
22;"Zaanse Snoepfabriek";"Dirk Luchte";"Chef comptable";"Verkoop
Rijnweg 22";"Zaandam";;"9999 ZZ";"Pays-Bas";"(12345)1212";"(12345) 1210";
23;"Karkki Oy";"Anne Heikkonen";"Chef de produit";"Valtakatu 12";"Lappeenranta";;"53120";"Finlande";"(953) 10956";;
24;"G'day, Mate";"Wendy Mackenzie";"Représentant(e)";"170 Prince Edward Parade
Hunter's Hill";"Sydney";"NSW";"2042";"Australie";;"(02) 555-4873";"G'day Mate (sur le World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/gdaymate.htm#"
25;"Ma Maison";"Jean-Guy Lauzon";"Directeur du marketing";"2960 Rue St. Laurent";"Montréal";"Québec";"H1J 1C3";"Canada";"(514) 555-9022";;
26;"Pasta Buttini s.r.l.";"Giovanni Giudici";"Acheteur";"Via dei Gelsomini, 153";"Salerno";;"84100";"Italie";"(089) 6547665";"(089) 6547667";
27;"Escargots Nouveaux";"Marie Delamare";"Chef des ventes";"22, rue H. Voiron";"Montceau";;"71300";"France";"85.57.00.07";;
28;"Gai pâturage";"Eliane Noz";"Représentant(e)";"Bat. B
3, rue des Alpes";"Annecy";;"74000";"France";"38.76.98.06";"38.76.98.58";
29;"Forêts d'érables";"Chantal Goulet";"Chef comptable";"148 rue Chasseur";"Ste-Hyacinthe";"Québec";"J2S 7S8";"Canada";"(514) 555-2955";"(514) 555-2921";
30;"Aux délices normands";"Danielle Hubert";"Chef des ventes";"45 rue de Paris";"Caen";;"14000";"France";"(1) 02.31.00.68";"(1) 02.31.00.62";
31;"Les caribous";"Cyril Carolin";"Propriétaire";"148 rue Chasseur";"RT Rachel West";"Québec";"J3MS 7S8";"Canada";"(514) 356-4578";"(514) 356-4579";
