"NoCom";"CodeCli";"NoEmp";"DateCom";"ALivAvant";"DateEnv";"NoMess";"Port";"Destinataire";"AdrLiv";"VilleLiv";"RegionLiv";"CodepostalLiv";"PaysLiv"
10285;"QUICK";1;20/9/1994 00:00:00;18/10/1994 00:00:00;26/9/1994 00:00:00;2;384;"QUICK-Stop";"Taucherstraße 10";"Cunewalde";;"01307";"Allemagne"
10286;"QUICK";8;21/9/1994 00:00:00;19/10/1994 00:00:00;30/9/1994 00:00:00;3;1146;"QUICK-Stop";"Taucherstraße 10";"Cunewalde";;"01307";"Allemagne"
10287;"RICAR";8;22/9/1994 00:00:00;20/10/1994 00:00:00;28/9/1994 00:00:00;3;64;"Ricardo Adocicados";"Av. Copacabana, 267";"Rio de Janeiro";"RJ";"02389-890";"Brésil"
10288;"REGGC";4;23/9/1994 00:00:00;21/10/1994 00:00:00;4/10/1994 00:00:00;1;37;"Reggiani Caseifici";"Strada Provinciale 124";"Reggio Emilia";;"42100";"Italie"
10289;"BSBEV";7;26/9/1994 00:00:00;24/10/1994 00:00:00;28/9/1994 00:00:00;3;114;"B's Beverages";"Fauntleroy Circus";"London";;"EC2 5NT";"Royaume-Uni"
10290;"COMMI";8;27/9/1994 00:00:00;25/10/1994 00:00:00;4/10/1994 00:00:00;1;398;"Comércio Mineiro";"Av. dos Lusíadas, 23";"São Paulo";"SP";"05432-043";"Brésil"
10291;"QUEDE";6;27/9/1994 00:00:00;25/10/1994 00:00:00;5/10/1994 00:00:00;2;32;"Que Delícia";"Rua da Panificadora, 12";"Rio de Janeiro";"RJ";"02389-673";"Brésil"
10292;"TRADH";1;28/9/1994 00:00:00;26/10/1994 00:00:00;3/10/1994 00:00:00;2;7;"Tradição Hipermercados";"Av. Inês de Castro, 414";"São Paulo";"SP";"05634-030";"Brésil"
10293;"TORTU";1;29/9/1994 00:00:00;27/10/1994 00:00:00;12/10/1994 00:00:00;3;106;"Tortuga Restaurante";"Avda. Azteca 123";"México D.F.";;"05033";"Mexique"
10294;"RATTC";4;30/9/1994 00:00:00;28/10/1994 00:00:00;6/10/1994 00:00:00;2;736;"Rattlesnake Canyon Grocery";"2817 Milton Dr.";"Albuquerque";"NM";"87110";"Etats-Unis"
10295;"VINET";2;3/10/1994 00:00:00;31/10/1994 00:00:00;11/10/1994 00:00:00;2;6;"Vins et alcools Chevalier";"59 rue de l'Abbaye";"Reims";;"51100";"France"
10296;"LILAS";6;4/10/1994 00:00:00;1/11/1994 00:00:00;12/10/1994 00:00:00;1;1;"LILA-Supermercado";"Carrera 52 con Ave. Bolívar #65-98 Llano Largo";"Barquisimeto";"Lara";"3508";"Venezuela"
10297;"BLONP";5;5/10/1994 00:00:00;16/11/1994 00:00:00;11/10/1994 00:00:00;2;29;"Blondel père et fils";"24, place Kléber";"Strasbourg";;"67000";"France"
10298;"HUNGO";6;6/10/1994 00:00:00;3/11/1994 00:00:00;12/10/1994 00:00:00;2;841;"Hungry Owl All-Night Grocers";"8 Johnstown Road";"Cork";"Co. Cork";;"Irlande"
10299;"RICAR";4;7/10/1994 00:00:00;4/11/1994 00:00:00;14/10/1994 00:00:00;2;149;"Ricardo Adocicados";"Av. Copacabana, 267";"Rio de Janeiro";"RJ";"02389-890";"Brésil"
10300;"MAGAA";2;10/10/1994 00:00:00;7/11/1994 00:00:00;19/10/1994 00:00:00;2;88;"Magazzini Alimentari Riuniti";"Via Ludovico il Moro 22";"Bergamo";;"24100";"Italie"
10301;"WANDK";8;10/10/1994 00:00:00;7/11/1994 00:00:00;18/10/1994 00:00:00;2;225;"Die Wandernde Kuh";"Adenauerallee 900";"Stuttgart";;"70563";"Allemagne"
10302;"SUPRD";4;11/10/1994 00:00:00;8/11/1994 00:00:00;9/11/1994 00:00:00;2;31;"Suprêmes délices";"Boulevard Tirou, 255";"Charleroi";;"B-6000";"Belgique"
10303;"GODOS";7;12/10/1994 00:00:00;9/11/1994 00:00:00;19/10/1994 00:00:00;2;539;"Godos Cocina Típica";"C/ Romero, 33";"Sevilla";;"41101";"Espagne"
10304;"TORTU";1;13/10/1994 00:00:00;10/11/1994 00:00:00;18/10/1994 00:00:00;2;319;"Tortuga Restaurante";"Avda. Azteca 123";"México D.F.";;"05033";"Mexique"
10305;"OLDWO";8;14/10/1994 00:00:00;11/11/1994 00:00:00;9/11/1994 00:00:00;3;1288;"Old World Delicatessen";"2743 Bering St.";"Anchorage";"AK";"99508";"Etats-Unis"
10306;"ROMEY";1;17/10/1994 00:00:00;14/11/1994 00:00:00;24/10/1994 00:00:00;3;38;"Romero y tomillo";"Gran Vía, 1";"Madrid";;"28001";"Espagne"
10307;"LONEP";2;18/10/1994 00:00:00;15/11/1994 00:00:00;26/10/1994 00:00:00;2;3;"Lonesome Pine Restaurant";"89 Chiaroscuro Rd.";"Portland";"OR";"97219";"Etats-Unis"
10308;"ANATR";7;19/10/1994 00:00:00;16/11/1994 00:00:00;25/10/1994 00:00:00;3;8;"Ana Trujillo Emparedados y helados";"Avda. de la Constitución 2222";"México D.F.";;"05021";"Mexique"
10309;"HUNGO";3;20/10/1994 00:00:00;17/11/1994 00:00:00;23/11/1994 00:00:00;1;236;"Hungry Owl All-Night Grocers";"8 Johnstown Road";"Cork";"Co. Cork";;"Irlande"
10310;"THEBI";8;21/10/1994 00:00:00;18/11/1994 00:00:00;28/10/1994 00:00:00;2;88;"The Big Cheese";"89 Jefferson Way
Suite 2";"Portland";"OR";"97201";"Etats-Unis"
10311;"DUMON";1;21/10/1994 00:00:00;4/11/1994 00:00:00;27/10/1994 00:00:00;3;123;"Du monde entier";"67, rue des Cinquante Otages";"Nantes";;"44000";"France"
10312;"WANDK";2;24/10/1994 00:00:00;21/11/1994 00:00:00;3/11/1994 00:00:00;2;201;"Die Wandernde Kuh";"Adenauerallee 900";"Stuttgart";;"70563";"Allemagne"
10313;"QUICK";2;25/10/1994 00:00:00;22/11/1994 00:00:00;4/11/1994 00:00:00;2;10;"QUICK-Stop";"Taucherstraße 10";"Cunewalde";;"01307";"Allemagne"
10314;"RATTC";1;26/10/1994 00:00:00;23/11/1994 00:00:00;4/11/1994 00:00:00;2;371;"Rattlesnake Canyon Grocery";"2817 Milton Dr.";"Albuquerque";"NM";"87110";"Etats-Unis"
10315;"ISLAT";4;27/10/1994 00:00:00;24/11/1994 00:00:00;3/11/1994 00:00:00;2;209;"Island Trading";"Garden House
Crowther Way";"Cowes";"Isle of Wigth";"PO31 7PJ";"Royaume-Uni"
10316;"RATTC";1;28/10/1994 00:00:00;25/11/1994 00:00:00;8/11/1994 00:00:00;3;751;"Rattlesnake Canyon Grocery";"2817 Milton Dr.";"Albuquerque";"NM";"87110";"Etats-Unis"
10317;"LONEP";6;31/10/1994 00:00:00;28/11/1994 00:00:00;10/11/1994 00:00:00;1;63;"Lonesome Pine Restaurant";"89 Chiaroscuro Rd.";"Portland";"OR";"97219";"Etats-Unis"
10318;"ISLAT";8;1/11/1994 00:00:00;29/11/1994 00:00:00;4/11/1994 00:00:00;2;24;"Island Trading";"Garden House
Crowther Way";"Cowes";"Isle of Wigth";"PO31 7PJ";"Royaume-Uni"
10319;"TORTU";7;2/11/1994 00:00:00;30/11/1994 00:00:00;11/11/1994 00:00:00;3;322;"Tortuga Restaurante";"Avda. Azteca 123";"México D.F.";;"05033";"Mexique"
10320;"WARTH";5;3/11/1994 00:00:00;17/11/1994 00:00:00;18/11/1994 00:00:00;3;173;"Wartian Herkku";"Torikatu 38";"Oulu";;"90110";"Finlande"
10321;"ISLAT";3;3/11/1994 00:00:00;1/12/1994 00:00:00;11/11/1994 00:00:00;2;17;"Island Trading";"Garden House
Crowther Way";"Cowes";"Isle of Wigth";"PO31 7PJ";"Royaume-Uni"
10322;"PERIC";7;4/11/1994 00:00:00;2/12/1994 00:00:00;23/11/1994 00:00:00;3;2;"Pericles Comidas clásicas";"Calle Dr. Jorge Cash 321";"México D.F.";;"05033";"Mexique"
10323;"KOENE";4;7/11/1994 00:00:00;5/12/1994 00:00:00;14/11/1994 00:00:00;1;24;"Königlich Essen";"Maubelstr. 90";"Brandenburg";;"14776";"Allemagne"
10324;"SAVEA";9;8/11/1994 00:00:00;6/12/1994 00:00:00;10/11/1994 00:00:00;1;1071;"Save-a-lot Markets";"187 Suffolk Ln.";"Boise";"ID";"83720";"Etats-Unis"
10325;"KOENE";1;9/11/1994 00:00:00;23/11/1994 00:00:00;14/11/1994 00:00:00;3;324;"Königlich Essen";"Maubelstr. 90";"Brandenburg";;"14776";"Allemagne"
10326;"BOLID";4;10/11/1994 00:00:00;8/12/1994 00:00:00;14/11/1994 00:00:00;2;390;"Bólido Comidas preparadas";"C/ Araquil, 67";"Madrid";;"28023";"Espagne"
10327;"FOLKO";2;11/11/1994 00:00:00;9/12/1994 00:00:00;14/11/1994 00:00:00;1;317;"Folk och fä HB";"Åkergatan 24";"Bräcke";;"S-844 67";"Suède"
10328;"FURIB";4;14/11/1994 00:00:00;12/12/1994 00:00:00;17/11/1994 00:00:00;3;435;"Furia Bacalhau e Frutos do Mar";"Jardim das rosas n. 32";"Lisboa";;"1675";"Portugal"
10329;"SPLIR";4;15/11/1994 00:00:00;27/12/1994 00:00:00;23/11/1994 00:00:00;2;958;"Split Rail Beer & Ale";"P.O. Box 555";"Lander";"WY";"82520";"Etats-Unis"
10330;"LILAS";3;16/11/1994 00:00:00;14/12/1994 00:00:00;28/11/1994 00:00:00;1;64;"LILA-Supermercado";"Carrera 52 con Ave. Bolívar #65-98 Llano Largo";"Barquisimeto";"Lara";"3508";"Venezuela"
10331;"BONAP";9;16/11/1994 00:00:00;28/12/1994 00:00:00;21/11/1994 00:00:00;1;51;"Bon app'";"12, rue des Bouchers";"Marseille";;"13008";"France"
10332;"MEREP";3;17/11/1994 00:00:00;29/12/1994 00:00:00;21/11/1994 00:00:00;2;264;"Mère Paillarde";"43 rue St. Laurent";"Montréal";"Québec";"H1J 1C3";"Canada"
10333;"WARTH";5;18/11/1994 00:00:00;16/12/1994 00:00:00;25/11/1994 00:00:00;3;3;"Wartian Herkku";"Torikatu 38";"Oulu";;"90110";"Finlande"
10334;"VICTE";8;21/11/1994 00:00:00;19/12/1994 00:00:00;28/11/1994 00:00:00;2;43;"Victuailles en stock";"2, rue du Commerce";"Lyon";;"69004";"France"
10335;"HUNGO";7;22/11/1994 00:00:00;20/12/1994 00:00:00;24/11/1994 00:00:00;2;211;"Hungry Owl All-Night Grocers";"8 Johnstown Road";"Cork";"Co. Cork";;"Irlande"
10336;"PRINI";7;23/11/1994 00:00:00;21/12/1994 00:00:00;25/11/1994 00:00:00;2;78;"Princesa Isabel Vinhos";"Estrada da saúde n. 58";"Lisboa";;"1756";"Portugal"
10337;"FRANK";4;24/11/1994 00:00:00;22/12/1994 00:00:00;29/11/1994 00:00:00;3;541;"Frankenversand";"Berliner Platz 43";"München";;"80805";"Allemagne"
10338;"OLDWO";4;25/11/1994 00:00:00;23/12/1994 00:00:00;29/11/1994 00:00:00;3;421;"Old World Delicatessen";"2743 Bering St.";"Anchorage";"AK";"99508";"Etats-Unis"
10339;"MEREP";2;28/11/1994 00:00:00;26/12/1994 00:00:00;5/12/1994 00:00:00;2;78;"Mère Paillarde";"43 rue St. Laurent";"Montréal";"Québec";"H1J 1C3";"Canada"
10340;"BONAP";1;29/11/1994 00:00:00;27/12/1994 00:00:00;9/12/1994 00:00:00;3;832;"Bon app'";"12, rue des Bouchers";"Marseille";;"13008";"France"
10341;"SIMOB";7;29/11/1994 00:00:00;27/12/1994 00:00:00;6/12/1994 00:00:00;3;134;"Simons bistro";"Vinbæltet 34";"København";;"1734";"Danemark"
10342;"FRANK";4;30/11/1994 00:00:00;14/12/1994 00:00:00;5/12/1994 00:00:00;2;274;"Frankenversand";"Berliner Platz 43";"München";;"80805";"Allemagne"
10343;"LEHMS";4;1/12/1994 00:00:00;29/12/1994 00:00:00;7/12/1994 00:00:00;1;552;"Lehmanns Marktstand";"Magazinweg 7";"Frankfurt a.M. ";;"60528";"Allemagne"
10344;"WHITC";4;2/12/1994 00:00:00;30/12/1994 00:00:00;6/12/1994 00:00:00;2;116;"White Clover Markets";"1029 - 12th Ave. S.";"Seattle";"WA";"98124";"Etats-Unis"
10345;"QUICK";2;5/12/1994 00:00:00;2/1/1995 00:00:00;12/12/1994 00:00:00;2;1245;"QUICK-Stop";"Taucherstraße 10";"Cunewalde";;"01307";"Allemagne"
10346;"RATTC";3;6/12/1994 00:00:00;17/1/1995 00:00:00;9/12/1994 00:00:00;3;710;"Rattlesnake Canyon Grocery";"2817 Milton Dr.";"Albuquerque";"NM";"87110";"Etats-Unis"
10347;"FAMIA";4;7/12/1994 00:00:00;4/1/1995 00:00:00;9/12/1994 00:00:00;3;16;"Familia Arquibaldo";"Rua Orós, 92";"São Paulo";"SP";"05442-030";"Brésil"
10348;"WANDK";4;8/12/1994 00:00:00;5/1/1995 00:00:00;16/12/1994 00:00:00;2;4;"Die Wandernde Kuh";"Adenauerallee 900";"Stuttgart";;"70563";"Allemagne"
10349;"SPLIR";7;9/12/1994 00:00:00;6/1/1995 00:00:00;16/12/1994 00:00:00;1;43;"Split Rail Beer & Ale";"P.O. Box 555";"Lander";"WY";"82520";"Etats-Unis"
10350;"LAMAI";6;12/12/1994 00:00:00;9/1/1995 00:00:00;3/1/1995 00:00:00;2;321;"La maison d'Asie";"1 rue Alsace-Lorraine";"Toulouse";;"31000";"France"
10351;"ERNSH";1;12/12/1994 00:00:00;9/1/1995 00:00:00;21/12/1994 00:00:00;1;812;"Ernst Handel";"Kirchgasse 6";"Graz";;"8010";"Autriche"
10352;"FURIB";3;13/12/1994 00:00:00;27/12/1994 00:00:00;19/12/1994 00:00:00;3;6;"Furia Bacalhau e Frutos do Mar";"Jardim das rosas n. 32";"Lisboa";;"1675";"Portugal"
10353;"PICCO";7;14/12/1994 00:00:00;11/1/1995 00:00:00;26/12/1994 00:00:00;3;1803;"Piccolo und mehr";"Geislweg 14";"Salzburg";;"5020";"Autriche"
10354;"PERIC";8;15/12/1994 00:00:00;12/1/1995 00:00:00;21/12/1994 00:00:00;3;269;"Pericles Comidas clásicas";"Calle Dr. Jorge Cash 321";"México D.F.";;"05033";"Mexique"
10355;"AROUT";6;16/12/1994 00:00:00;13/1/1995 00:00:00;21/12/1994 00:00:00;2;210;"Around the Horn";"Brook Farm
Stratford St. Mary";"Colchester";"Essex";"CO7 6JX";"Royaume-Uni"
10356;"WANDK";6;19/12/1994 00:00:00;16/1/1995 00:00:00;28/12/1994 00:00:00;2;184;"Die Wandernde Kuh";"Adenauerallee 900";"Stuttgart";;"70563";"Allemagne"
10357;"LILAS";1;20/12/1994 00:00:00;17/1/1995 00:00:00;2/1/1995 00:00:00;3;174;"LILA-Supermercado";"Carrera 52 con Ave. Bolívar #65-98 Llano Largo";"Barquisimeto";"Lara";"3508";"Venezuela"
10358;"LAMAI";5;21/12/1994 00:00:00;18/1/1995 00:00:00;28/12/1994 00:00:00;1;98;"La maison d'Asie";"1 rue Alsace-Lorraine";"Toulouse";;"31000";"France"
10359;"SEVES";5;22/12/1994 00:00:00;19/1/1995 00:00:00;27/12/1994 00:00:00;3;1442;"Seven Seas Imports";"90 Wadhurst Rd.";"London";;"OX15 4NB";"Royaume-Uni"
10360;"BLONP";4;23/12/1994 00:00:00;20/1/1995 00:00:00;2/1/1995 00:00:00;3;658;"Blondel père et fils";"24, place Kléber";"Strasbourg";;"67000";"France"
10361;"QUICK";1;23/12/1994 00:00:00;20/1/1995 00:00:00;3/1/1995 00:00:00;2;916;"QUICK-Stop";"Taucherstraße 10";"Cunewalde";;"01307";"Allemagne"
10362;"BONAP";3;26/12/1994 00:00:00;23/1/1995 00:00:00;29/12/1994 00:00:00;1;480;"Bon app'";"12, rue des Bouchers";"Marseille";;"13008";"France"
10363;"DRACD";4;27/12/1994 00:00:00;24/1/1995 00:00:00;4/1/1995 00:00:00;3;153;"Drachenblut Delikatessen";"Walserweg 21";"Aachen";;"52066";"Allemagne"
10364;"EASTC";1;27/12/1994 00:00:00;7/2/1995 00:00:00;4/1/1995 00:00:00;1;360;"Eastern Connection";"35 King George";"London";;"WX3 6FW";"Royaume-Uni"
10365;"ANTON";3;28/12/1994 00:00:00;25/1/1995 00:00:00;2/1/1995 00:00:00;2;110;"Antonio Moreno Taquería";"Mataderos  2312";"México D.F.";;"05023";"Mexique"
10366;"GALED";8;29/12/1994 00:00:00;9/2/1995 00:00:00;30/1/1995 00:00:00;2;51;"Galería del gastronómo";"Rambla de Cataluña, 23";"Barcelona";;"8022";"Espagne"
10367;"VAFFE";7;29/12/1994 00:00:00;26/1/1995 00:00:00;2/1/1995 00:00:00;3;68;"Vaffeljernet";"Smagsløget 45";"Århus";;"8200";"Danemark"
10368;"ERNSH";2;30/12/1994 00:00:00;27/1/1995 00:00:00;2/1/1995 00:00:00;2;510;"Ernst Handel";"Kirchgasse 6";"Graz";;"8010";"Autriche"
10369;"SPLIR";8;2/1/1995 00:00:00;30/1/1995 00:00:00;9/1/1995 00:00:00;2;978;"Split Rail Beer & Ale";"P.O. Box 555";"Lander";"WY";"82520";"Etats-Unis"
10370;"CHOPS";6;3/1/1995 00:00:00;31/1/1995 00:00:00;27/1/1995 00:00:00;2;6;"Chop-suey Chinese";"Hauptstr. 31";"Bern";;"3012";"Suisse"
10371;"LAMAI";1;3/1/1995 00:00:00;31/1/1995 00:00:00;24/1/1995 00:00:00;1;2;"La maison d'Asie";"1 rue Alsace-Lorraine";"Toulouse";;"31000";"France"
10372;"QUEEN";5;4/1/1995 00:00:00;1/2/1995 00:00:00;9/1/1995 00:00:00;2;4454;"Queen Cozinha";"Alameda dos Canàrios, 891";"São Paulo";"SP";"05487-020";"Brésil"
10373;"HUNGO";4;5/1/1995 00:00:00;2/2/1995 00:00:00;11/1/1995 00:00:00;1;621;"Hungry Owl All-Night Grocers";"8 Johnstown Road";"Cork";"Co. Cork";;"Irlande"
10374;"WOLZA";1;5/1/1995 00:00:00;2/2/1995 00:00:00;9/1/1995 00:00:00;1;20;"Wolski Zajazd";"ul. Filtrowa 68";"Warszawa";;"01-012";"Pologne"
10375;"HUNGC";3;6/1/1995 00:00:00;3/2/1995 00:00:00;9/1/1995 00:00:00;2;101;"Hungry Coyote Import Store";"City Center Plaza
516 Main St.";"Elgin";"OR";"97827";"Etats-Unis"
10376;"MEREP";1;9/1/1995 00:00:00;6/2/1995 00:00:00;13/1/1995 00:00:00;2;102;"Mère Paillarde";"43 rue St. Laurent";"Montréal";"Québec";"H1J 1C3";"Canada"
10377;"SEVES";1;9/1/1995 00:00:00;6/2/1995 00:00:00;13/1/1995 00:00:00;1;111;"Seven Seas Imports";"90 Wadhurst Rd.";"London";;"OX15 4NB";"Royaume-Uni"
10378;"FOLKO";5;10/1/1995 00:00:00;7/2/1995 00:00:00;19/1/1995 00:00:00;1;27;"Folk och fä HB";"Åkergatan 24";"Bräcke";;"S-844 67";"Suède"
10379;"QUEDE";2;11/1/1995 00:00:00;8/2/1995 00:00:00;13/1/1995 00:00:00;1;225;"Que Delícia";"Rua da Panificadora, 12";"Rio de Janeiro";"RJ";"02389-673";"Brésil"
10380;"HUNGO";8;12/1/1995 00:00:00;9/2/1995 00:00:00;16/2/1995 00:00:00;1;175;"Hungry Owl All-Night Grocers";"8 Johnstown Road";"Cork";"Co. Cork";;"Irlande"
10381;"LILAS";3;12/1/1995 00:00:00;9/2/1995 00:00:00;13/1/1995 00:00:00;1;40;"LILA-Supermercado";"Carrera 52 con Ave. Bolívar #65-98 Llano Largo";"Barquisimeto";"Lara";"3508";"Venezuela"
10382;"ERNSH";4;13/1/1995 00:00:00;10/2/1995 00:00:00;16/1/1995 00:00:00;1;474;"Ernst Handel";"Kirchgasse 6";"Graz";;"8010";"Autriche"
10383;"AROUT";8;16/1/1995 00:00:00;13/2/1995 00:00:00;18/1/1995 00:00:00;1;171;"Around the Horn";"Brook Farm
Stratford St. Mary";"Colchester";"Essex";"CO7 6JX";"Royaume-Uni"
10384;"BERGS";3;16/1/1995 00:00:00;13/2/1995 00:00:00;20/1/1995 00:00:00;1;843;"Berglunds snabbköp";"Berguvsvägen  8";"Luleå";;"S-958 22";"Suède"
