ptt dej;gouter;soiree;apres dejeuner;apres diner;tt moment;maison;travail;salon de t;amis;resto;bar;variete;comment;sucre;forme;lieuachat;type;sexe;CSP;Sport;age;age_Q;frequence;evasion-exotisme;spiritualite;bon pr la sante;diuretique;convivialite;absorption fer;feminin;raffine;amaigrissant;excitant;relaxant;ss effet sante
Pas.ptt dej;Pas.gouter;soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;amis;resto;Pas.bar;parfume;pur;Pas.sucre;sachet;GMS;t_inconnu;H;cadre moyen;sportif;32;25-34;1/jour;Pas.evasion-exotisme;Pas.spiritualite;Pas.bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;Pas.feminin;Pas.raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
ptt dej;Pas.gouter;soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;amis;Pas.resto;Pas.bar;parfume;pur;sucre;sachet;GMS;t_variable;H;cadre moyen;sportif;31;25-34;1/jour;evasion-exotisme;Pas.spiritualite;Pas.bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;Pas.feminin;Pas.raffine;Pas.amaigrissant;Pas.excitant;relaxant;ss effet sante
ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;Pas.amis;Pas.resto;Pas.bar;parfume;lait;Pas.sucre;sachet+vrac;GMS+mag.spe.;t_MDD;H;cadre sup;sportif;56;45-59;1/jour;Pas.evasion-exotisme;spiritualite;Pas.bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;excitant;relaxant;Pas.ss effet sante
ptt dej;Pas.gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;amis;Pas.resto;Pas.bar;noir;lait;sucre;sachet;GMS;t_marque_connue;H;non actif;sportif;66;60 et +;+ de 2/jour;evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;Pas.feminin;Pas.raffine;amaigrissant;excitant;Pas.relaxant;ss effet sante
ptt dej;Pas.gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;Pas.amis;Pas.resto;Pas.bar;noir;lait;Pas.sucre;sachet;GMS+mag.spe.;t_haut_de_gamme;H;non actif;sportif;65;60 et +;+ de 2/jour;evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;feminin;raffine;amaigrissant;Pas.excitant;relaxant;ss effet sante
ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;Pas.amis;Pas.resto;Pas.bar;parfume;pur;sucre;vrac;GMS+mag.spe.;t_haut_de_gamme;H;cadre moyen;sportif;60;60 et +;+ de 2/jour;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;Pas.excitant;Pas.relaxant;Pas.ss effet sante
ptt dej;gouter;soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;travail;Pas.salon de t;amis;Pas.resto;Pas.bar;noir;pur;Pas.sucre;sachet+vrac;GMS+mag.spe.;t_haut_de_gamme;H;cadre moyen;sportif;35;35-44;+ de 2/jour;evasion-exotisme;Pas.spiritualite;Pas.bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;Pas.feminin;Pas.raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;salon de t;amis;Pas.resto;Pas.bar;parfume;pur;Pas.sucre;sachet;GMS+mag.spe.;t_variable;F;non actif;sportif;72;60 et +;+ de 2/jour;evasion-exotisme;Pas.spiritualite;bon pr la sante;Pas.diuretique;Pas.convivialite;Pas.absorption fer;feminin;raffine;Pas.amaigrissant;Pas.excitant;Pas.relaxant;Pas.ss effet sante
ptt dej;gouter;soiree;apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;Pas.amis;resto;Pas.bar;noir;pur;Pas.sucre;sachet;GMS;t_marque_connue;F;non actif;Pas.sportif;73;60 et +;+ de 2/jour;evasion-exotisme;Pas.spiritualite;Pas.bon pr la sante;Pas.diuretique;Pas.convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;gouter;Pas.soiree;apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;Pas.amis;Pas.resto;Pas.bar;noir;pur;Pas.sucre;sachet;GMS;t_variable;F;non actif;sportif;80;60 et +;+ de 2/jour;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;amis;Pas.resto;Pas.bar;parfume;citron;Pas.sucre;sachet;GMS+mag.spe.;t_variable;F;non actif;Pas.sportif;76;60 et +;+ de 2/jour;evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;convivialite;absorption fer;Pas.feminin;Pas.raffine;Pas.amaigrissant;excitant;Pas.relaxant;Pas.ss effet sante
ptt dej;Pas.gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;salon de t;Pas.amis;resto;Pas.bar;noir;autre;Pas.sucre;sachet+vrac;GMS+mag.spe.;t_variable;F;non actif;sportif;63;60 et +;+ de 2/jour;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;Pas.maison;travail;Pas.salon de t;Pas.amis;Pas.resto;Pas.bar;parfume;pur;Pas.sucre;sachet;GMS;t_haut_de_gamme;F;non actif;sportif;55;45-59;+ de 2/jour;evasion-exotisme;Pas.spiritualite;Pas.bon pr la sante;diuretique;convivialite;Pas.absorption fer;feminin;raffine;Pas.amaigrissant;excitant;Pas.relaxant;ss effet sante
ptt dej;Pas.gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;amis;resto;Pas.bar;noir;pur;Pas.sucre;sachet;GMS;t_haut_de_gamme;F;non actif;Pas.sportif;56;45-59;+ de 2/jour;evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;Pas.gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;tt moment;maison;Pas.travail;Pas.salon de t;amis;resto;Pas.bar;parfume;pur;Pas.sucre;vrac;GMS+mag.spe.;t_marque_connue;F;non actif;Pas.sportif;60;60 et +;+ de 2/jour;evasion-exotisme;spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;feminin;raffine;amaigrissant;Pas.excitant;relaxant;ss effet sante
ptt dej;Pas.gouter;soiree;Pas.apres dej;Pas.apres diner;tt moment;maison;travail;salon de t;amis;resto;bar;parfume;lait;Pas.sucre;sachet;GMS+mag.spe.;t_inconnu;F;etudiant;sportif;22;15-24;+ de 2/jour;evasion-exotisme;Pas.spiritualite;Pas.bon pr la sante;diuretique;convivialite;Pas.absorption fer;feminin;raffine;amaigrissant;excitant;relaxant;Pas.ss effet sante
ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;salon de t;amis;Pas.resto;Pas.bar;parfume;pur;sucre;sachet;GMS;t_variable;F;employe;sportif;24;15-24;+ de 2/jour;evasion-exotisme;Pas.spiritualite;bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
ptt dej;gouter;soiree;apres dej;Pas.apres diner;Pas.tt moment;maison;travail;Pas.salon de t;amis;resto;Pas.bar;parfume;pur;Pas.sucre;sachet+vrac;GMS;t_variable;F;cadre moyen;sportif;21;15-24;+ de 2/jour;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;amis;Pas.resto;Pas.bar;noir;pur;Pas.sucre;sachet;GMS;t_variable;F;non actif;Pas.sportif;75;60 et +;1 à 2/sem;Pas.evasion-exotisme;Pas.spiritualite;Pas.bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;salon de t;Pas.amis;Pas.resto;Pas.bar;parfume;pur;sucre;sachet;GMS;t_variable;F;non actif;Pas.sportif;37;35-44;+ de 2/jour;evasion-exotisme;spiritualite;bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;feminin;raffine;Pas.amaigrissant;Pas.excitant;Pas.relaxant;Pas.ss effet sante
Pas.ptt dej;Pas.gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;tt moment;maison;Pas.travail;Pas.salon de t;Pas.amis;Pas.resto;Pas.bar;parfume;pur;Pas.sucre;vrac;magasin specialise;t_haut_de_gamme;F;cadre moyen;sportif;32;25-34;+ de 2/jour;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;amis;resto;Pas.bar;parfume;citron;sucre;sachet+vrac;GMS+mag.spe.;t_variable;F;cadre moyen;Pas.sportif;32;25-34;1/jour;evasion-exotisme;Pas.spiritualite;Pas.bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;travail;Pas.salon de t;Pas.amis;Pas.resto;Pas.bar;parfume;pur;sucre;sachet+vrac;GMS+mag.spe.;t_variable;F;cadre moyen;Pas.sportif;38;35-44;3 à 6/sem;evasion-exotisme;spiritualite;Pas.bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;feminin;raffine;Pas.amaigrissant;excitant;Pas.relaxant;Pas.ss effet sante
Pas.ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;Pas.amis;Pas.resto;Pas.bar;noir;pur;Pas.sucre;sachet;GMS;t_MDD;F;non actif;Pas.sportif;50;45-59;3 à 6/sem;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;gouter;soiree;Pas.apres dej;Pas.apres diner;tt moment;maison;Pas.travail;Pas.salon de t;amis;resto;bar;noir;citron;Pas.sucre;sachet+vrac;GMS+mag.spe.;t_haut_de_gamme;F;employe;sportif;26;25-34;1/jour;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;Pas.excitant;Pas.relaxant;Pas.ss effet sante
ptt dej;Pas.gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;Pas.amis;Pas.resto;Pas.bar;parfume;lait;sucre;sachet;GMS;t_variable;H;cadre sup;Pas.sportif;39;35-44;1/jour;evasion-exotisme;Pas.spiritualite;Pas.bon pr la sante;diuretique;Pas.convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;Pas.excitant;Pas.relaxant;Pas.ss effet sante
ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;amis;Pas.resto;Pas.bar;vert;pur;Pas.sucre;sachet+vrac;GMS;t_marque_connue;F;etudiant;sportif;17;15-24;1/jour;Pas.evasion-exotisme;Pas.spiritualite;Pas.bon pr la sante;diuretique;Pas.convivialite;Pas.absorption fer;Pas.feminin;Pas.raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
ptt dej;Pas.gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;Pas.amis;Pas.resto;Pas.bar;vert;pur;Pas.sucre;sachet;GMS;t_marque_connue;F;non actif;Pas.sportif;45;45-59;+ de 2/jour;evasion-exotisme;spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;feminin;raffine;amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;Pas.gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;tt moment;maison;travail;salon de t;amis;resto;Pas.bar;parfume;lait;Pas.sucre;sachet;GMS+mag.spe.;t_marque_connue;F;cadre moyen;Pas.sportif;36;35-44;+ de 2/jour;Pas.evasion-exotisme;spiritualite;bon pr la sante;diuretique;Pas.convivialite;Pas.absorption fer;feminin;raffine;amaigrissant;Pas.excitant;Pas.relaxant;Pas.ss effet sante
Pas.ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;amis;Pas.resto;Pas.bar;vert;pur;Pas.sucre;sachet+vrac;GMS+mag.spe.;t_marque_connue;F;cadre moyen;Pas.sportif;37;35-44;3 à 6/sem;evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;feminin;raffine;Pas.amaigrissant;Pas.excitant;Pas.relaxant;ss effet sante
ptt dej;gouter;Pas.soiree;apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;Pas.amis;Pas.resto;Pas.bar;parfume;pur;sucre;sachet;GMS;t_marque_connue;F;non actif;Pas.sportif;71;60 et +;+ de 2/jour;evasion-exotisme;Pas.spiritualite;bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;feminin;raffine;amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;travail;salon de t;amis;Pas.resto;Pas.bar;vert;pur;Pas.sucre;sachet;GMS;t_MDD;F;autre actif;sportif;48;45-59;+ de 2/jour;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;feminin;Pas.raffine;Pas.amaigrissant;Pas.excitant;Pas.relaxant;Pas.ss effet sante
Pas.ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;amis;resto;Pas.bar;parfume;lait;Pas.sucre;sachet;GMS;t_marque_connue;F;etudiant;Pas.sportif;23;15-24;1/jour;evasion-exotisme;spiritualite;bon pr la sante;diuretique;convivialite;absorption fer;Pas.feminin;raffine;Pas.amaigrissant;excitant;relaxant;Pas.ss effet sante
ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;salon de t;amis;resto;Pas.bar;noir;autre;Pas.sucre;sachet;GMS+mag.spe.;t_variable;F;non actif;Pas.sportif;70;60 et +;+ de 2/jour;evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;feminin;raffine;amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;Pas.gouter;soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;amis;Pas.resto;Pas.bar;parfume;pur;Pas.sucre;sachet;GMS;t_variable;F;etudiant;sportif;19;15-24;3 à 6/sem;evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;convivialite;absorption fer;feminin;raffine;amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;tt moment;maison;travail;salon de t;amis;resto;bar;parfume;lait;sucre;sachet;GMS;t_variable;F;etudiant;sportif;25;25-34;1/jour;evasion-exotisme;Pas.spiritualite;bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;Pas.gouter;soiree;Pas.apres dej;apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;amis;Pas.resto;Pas.bar;parfume;pur;sucre;sachet;GMS;t_inconnu;F;etudiant;Pas.sportif;22;15-24;1 à 2/sem;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;Pas.feminin;Pas.raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;Pas.gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;tt moment;maison;Pas.travail;Pas.salon de t;amis;Pas.resto;Pas.bar;parfume;pur;Pas.sucre;sachet+vrac;GMS+mag.spe.;t_variable;F;etudiant;sportif;22;15-24;1 à 2/sem;Pas.evasion-exotisme;spiritualite;bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;travail;Pas.salon de t;Pas.amis;Pas.resto;Pas.bar;parfume;pur;Pas.sucre;sachet+vrac;GMS;t_MDD;F;employe;Pas.sportif;34;25-34;1/jour;Pas.evasion-exotisme;Pas.spiritualite;Pas.bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;feminin;raffine;Pas.amaigrissant;excitant;Pas.relaxant;ss effet sante
ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;salon de t;amis;resto;Pas.bar;noir;pur;Pas.sucre;sachet+vrac;GMS+mag.spe.;t_haut_de_gamme;F;etudiant;sportif;23;15-24;+ de 2/jour;Pas.evasion-exotisme;Pas.spiritualite;Pas.bon pr la sante;diuretique;convivialite;Pas.absorption fer;Pas.feminin;Pas.raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;amis;Pas.resto;bar;parfume;pur;sucre;sachet+vrac;GMS+mag.spe.;t_variable;F;employe;sportif;21;15-24;1/jour;evasion-exotisme;Pas.spiritualite;bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;feminin;Pas.raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
Pas.ptt dej;gouter;soiree;Pas.apres dej;Pas.apres diner;tt moment;maison;Pas.travail;salon de t;amis;Pas.resto;Pas.bar;noir;pur;sucre;sachet+vrac;GMS;t_haut_de_gamme;F;employe;sportif;37;35-44;1 à 2/sem;Pas.evasion-exotisme;spiritualite;Pas.bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;ss effet sante
Pas.ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;travail;Pas.salon de t;amis;Pas.resto;bar;parfume;pur;Pas.sucre;vrac;magasin specialise;t_haut_de_gamme;F;non actif;sportif;40;35-44;3 à 6/sem;Pas.evasion-exotisme;Pas.spiritualite;Pas.bon pr la sante;diuretique;convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;Pas.excitant;Pas.relaxant;ss effet sante
Pas.ptt dej;gouter;soiree;Pas.apres dej;apres diner;Pas.tt moment;maison;Pas.travail;Pas.salon de t;Pas.amis;Pas.resto;Pas.bar;parfume;pur;sucre;sachet;GMS;t_haut_de_gamme;F;etudiant;sportif;18;15-24;1 à 2/sem;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;Pas.feminin;Pas.raffine;Pas.amaigrissant;Pas.excitant;relaxant;ss effet sante
Pas.ptt dej;Pas.gouter;soiree;Pas.apres dej;Pas.apres diner;tt moment;maison;Pas.travail;Pas.salon de t;Pas.amis;Pas.resto;Pas.bar;vert;lait;sucre;sachet;GMS;t_marque_connue;F;employe;sportif;18;15-24;1/jour;Pas.evasion-exotisme;Pas.spiritualite;bon pr la sante;Pas.diuretique;convivialite;Pas.absorption fer;feminin;Pas.raffine;Pas.amaigrissant;Pas.excitant;Pas.relaxant;Pas.ss effet sante
Pas.ptt dej;gouter;soiree;Pas.apres dej;Pas.apres diner;tt moment;maison;travail;salon de t;amis;Pas.resto;Pas.bar;parfume;pur;Pas.sucre;sachet+vrac;GMS;t_variable;F;cadre moyen;sportif;56;45-59;3 à 6/sem;evasion-exotisme;Pas.spiritualite;Pas.bon pr la sante;diuretique;convivialite;Pas.absorption fer;Pas.feminin;raffine;Pas.amaigrissant;Pas.excitant;Pas.relaxant;Pas.ss effet sante
ptt dej;gouter;Pas.soiree;Pas.apres dej;Pas.apres diner;Pas.tt moment;maison;Pas.travail;salon de t;amis;Pas.resto;bar;vert;pur;Pas.sucre;sachet;GMS;t_variable;F;autre actif;Pas.sportif;34;25-34;1/jour;evasion-exotisme;spiritualite;bon pr la sante;diuretique;convivialite;Pas.absorption fer;feminin;raffine;Pas.amaigrissant;Pas.excitant;relaxant;Pas.ss effet sante
